address,latlng,name,phone,region
3 Y 60,,,,
7 Y 525,,,,
13 Y 36,,,,
14 Y 46,,,,
21 E/ 64 Y 65,,,,
25 E/ 32 Y 33,,,,
44 Y 24,,,,
56 Y 10,,,,
60 E/ 24 Y 25,,,,
66 E/ 10 Y 11,,,,
72 ESQ. 10,,,,
197 Y 46,,,,
DG. 74 E/ 3 Y 4,,,,
DG. 80 E/ 4 Y 5,,,,
RUTA 11 Y 95,,,,
4 Y 51,,,,
7 E/ 91 Y 92,,,,
8 Y 42,,,,
21 y 68,,,,
30 Y 63,,,,
32 E/ 11 Y 12,,,,
32 E/ 131 Y 132,,,,
38 Y 20,,,,
38 E/ 120 Y 121,,,,
44 E/ 217 Y 218,,,,
56 E/ 12 Y 13,,,,
122 Y 76,,,,
DG. 74 Y 115 (115 Y 37),,,,
DG. 79 ESQ. 64 Y 118,,,,
1 Y 65,,,,
7 E/ 76 Y 77,,,,
7 E/ 528 Y 529,,,,
10 Y 63,,,,
12 Y 48,,,,
19 Y 75,,,,
27 E/ 46 Y 47,,,,
27 E/ 60 Y 61,,,,
32 164 Y 165,,,,
44 Y 6,,,,
44 E/ 146 Y 147,,,,
116 Y 522,,,,
122 E/ 35 Y 36,,,,
137 E/527 Y 528,,,,
C. MAGDALENA Y 600,,,,
3 Y 57,,,,
7 Y 33,,,,
7 Y 70,,,,
10 Y DG. 74,,,,
21 Y 35,,,,
30 E/ 48 Y 49,,,,
31 E/ 66 Y 67,,,,
32 E/ 164 Y 165,,,,
44 E/ 184 Y 185,,,,
60 Y 19 P. IRIGO.,,,,
62 E/ 11 Y 12,,,,
122 Y 70,,,,
520 Y 151 BIS,,,,
DG. 73 E/ 61 Y 62,,,,
DG. 74 Y 5 (5 Y 42),,,,
C. G. BEL. Y 517,,,,
3 E/ 62 Y 63,,,,
5 Y 55,,,,
5 Y 71,,,,
7 Y 86,,,,
7 Y 520 BIS,,,,
14 Y 64,,,,
26 Y 75,,,,
44 E/ 201 Y 202,,,,
47 E/ 7 Y 8,,,,
48 Y 15,,,,
58 E/ 21 Y 22 ESQ. DG. 75,,,,
122 Y 90,,,,
DG. 73 Y 34 (29 Y 34),,,,
DG. 80 Y 45,,,,
1 Y 70,,,,
7 E/ 609 Y 610,,,,
19 Y 64,,,,
43 E/ 3 Y 4,,,,
44 Y 160,,,,
49 E/ 7 Y 8,,,,
49 E/ 132 Y 133,,,,
80 E/ 9 Y 10,,,,
80 Y 120,,,,
520 Y 141,,,,
DG. 73 E/ 46 Y 47,,,,
2 Y 50,,,,
4 Y 38,,,,
7 E/ 46 Y 47,,,,
8 Y 524,,,,
10 Y 60,,,,
11 Y 70,,,,
13 Y 85 BIS,,,,
40 E/ 119 Y 120,,,,
42 E/ 13 Y 14,,,,
51 E/ 29 Y 30,,,,
137 E/ 43 Y 44,,,,
DG. 74 Y 20 (20 Y 61),,,,
1 E/ P. MAT. Y 67,,,,
2 E/ 32 Y 33,,,,
7 Y 41,,,,
12 E/ 59 Y 60,,,,
32 Y 134,,,,
44 Y 2,,,,
49 E/ 138 Y 139,,,,
66 E/ 121 Y 122,,,,
208 E/ 517 Y 518,,,,
529 Y C. G. BELG.,,,,
DG. 74 E/ 22 Y 23,,,,
5 ESQ. 46,,,,
7 Y 54,,,,
7 E/ 63 Y 64,,,,
11 Y 41 DG. 77 Y 41,,,,
11 Y 530,,,,
17 Y 70,,,,
19 E/ 33 Y 34,,,,
31 E/ 78 Y 79,,,,
44 Y 139,,,,
59 E/ 3 Y 4,,,,
60 E/ 17 Y 18,,,,
520 E/ 2 BIS Y 3,,,,
DG. 73 E/ 116 Y 117,,,,
C. G. BEL. E/ 511 Y 514,,,,
9 E/ 61 Y D. 78,,,,
11 Y 46,,,,
19 Y 524,,,,
25 Y 35,,,,
35 E/ 9 Y 10,,,,
40 E/ 15 Y 16,,,,
44 Y 135,,,,
50 E/ 5 Y 6,,,,
54 E/ 17 Y 18,,,,
60 Y 14,,,,
65 E/ 25 Y 26,,,,
72 Y 10,,,,
117 Y 85,,,,
137 E/ 527 Y 528,,,,
DG. 73 Y 64 (3 Y 64),,,,
1 Y 61,,,,
2 Y DG. 74,,,,
8 Y 59,,,,
13 Y 73,,,,
13 E/ 528 Y 529,,,,
44 Y 10,,,,
44 E/ 196 Y 197,,,,
50 Y 131,,,,
64 E/ 12 Y 13,,,,
66 Y 117,,,,
DG. 73 Y 27 (36 Y 27),,,,
